# Generated by AstrophysicsAugmentationPipeline
# Export date: 2025-12-26T18:39:56.069046
#
P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED 
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
0.533189479112625,0.07307562933862209,0.08158299620449543,0.20561844004302385,0.0713075231462717,0.030357861489057537,0.3610229790210724,0.3890333950519561,0.4860535264015198
