# Generated by AstrophysicsAugmentationPipeline
# Export date: 2025-12-26T18:39:56.069046
#
P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED
0.553,0.085,0.128,0.149,0.085,0.0,0.362,0.192,0.675
0.149,0.581,0.014,0.216,0.027,0.014,0.811,0.044,0.912
0.48599999999999993,0.0,0.0,0.48600000000000004,0.029000000000000005,0.0,0.486,0.095,0.859
0.81,0.0,0.0,0.048,0.143,0.0,0.048,0.749,0.097
0.438,0.0,0.021,0.5,0.0,0.042,0.521,0.273,0.681
0.864,0.0,0.0,0.068,0.068,0.0,0.068,0.745,0.173
0.853,0.0,0.0,0.0,0.11799999999999998,0.029,0.0,0.853,0.0
0.781,0.0,0.0,0.156,0.062,0.0,0.156,0.533,0.376
0.292,0.375,0.042,0.25,0.042,0.0,0.667,0.049,0.897
0.789,0.018,0.053,0.07,0.07,0.0,0.14,0.7,0.225
0.833,0.028,0.0,0.083,0.056,0.0,0.111,0.578,0.332
0.806,0.032,0.0,0.032,0.129,0.0,0.065,0.783,0.086
0.65,0.05,0.05,0.25,0.0,0.0,0.35,0.347,0.653
0.639,0.0,0.194,0.111,0.056,0.0,0.306,0.558,0.384
0.24,0.12,0.0,0.6,0.04,0.0,0.72,0.052,0.9
0.27,0.027,0.081,0.568,0.027,0.027,0.676,0.063,0.871
0.185,0.0,0.037,0.778,0.0,0.0,0.815,0.027,0.973
0.414,0.034,0.034,0.379,0.138,0.0,0.448,0.218,0.619
0.314,0.029,0.314,0.2,0.143,0.0,0.543,0.055,0.756
0.739,0.0,0.0,0.217,0.043,0.0,0.217,0.456,0.481
0.826,0.0,0.0,0.043,0.13,0.0,0.043,0.671,0.143
0.639,0.028,0.056,0.25,0.028,0.0,0.333,0.332,0.628
0.473,0.0,0.327,0.127,0.073,0.0,0.455,0.126,0.765
0.308,0.346,0.0,0.115,0.154,0.077,0.462,0.224,0.535
0.281,0.344,0.0,0.375,0.0,0.0,0.719,0.153,0.847
0.594,0.072,0.058,0.232,0.043,0.0,0.362,0.37,0.577
0.559,0.235,0.0,0.147,0.05899999999999999,0.0,0.382,0.172,0.732
0.444,0.037,0.0,0.519,0.0,0.0,0.556,0.346,0.654
0.844,0.031,0.0,0.062,0.062,0.0,0.094,0.821,0.116
0.784,0.0,0.0,0.054,0.081,0.081,0.054,0.716,0.108
0.633,0.033,0.0,0.167,0.133,0.033,0.2,0.578,0.252
